code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sh.600000,2024-04-30,2023-12-31,,,,0.034570,0.918634,12.290140
sh.600004,2024-04-27,2023-12-31,0.681887,0.671892,0.428106,-0.120485,0.320110,1.470827
sh.600006,2024-04-13,2023-12-31,1.501806,1.299392,0.690396,0.148780,0.551529,2.229800
sh.600007,2024-03-29,2023-12-31,2.153549,2.137831,1.990240,-0.136248,0.246651,1.327407
sh.600008,2024-04-13,2023-12-31,0.910222,0.865594,0.186029,0.069139,0.649093,2.849760
sh.600009,2024-03-30,2023-12-31,1.836529,1.831608,1.556369,0.014124,0.395132,1.653252
sh.600010,2024-04-19,2023-12-31,0.556477,0.321247,0.132344,0.058421,0.595039,2.469371
sh.600011,2024-03-20,2023-12-31,0.553320,0.480763,0.102743,-0.016660,0.683342,3.157978
sh.600012,2024-03-29,2023-12-31,2.921674,2.918622,2.702808,-0.022433,0.350704,1.540129
sh.600015,2024-04-30,2023-12-31,,,,0.099574,0.924376,13.223333
sh.600016,2024-03-29,2023-12-31,,,,0.059358,0.916899,12.033479
sh.600017,2024-03-29,2023-12-31,0.292428,0.276589,0.147643,0.239175,0.607517,2.547881
sh.600018,2024-03-30,2023-12-31,2.323133,1.872854,1.564327,0.111396,0.331028,1.494830
sh.600019,2024-04-27,2023-12-31,1.198963,0.806584,0.227920,-0.145081,0.414607,1.708255
sh.600020,2024-04-11,2023-12-31,0.799482,0.176667,0.062380,-0.048578,0.705090,3.390868
sh.600021,2024-04-02,2023-12-31,0.664985,0.643478,0.141586,0.002843,0.700069,3.334101
sh.600022,2024-03-30,2023-12-31,0.511891,0.343485,0.214843,-0.030451,0.541267,2.179916
sh.600023,2024-04-30,2023-12-31,1.324005,1.120070,0.604036,0.259000,0.456895,1.841263
sh.600025,2024-04-27,2023-12-31,0.149448,0.147929,0.060619,0.168879,0.637761,2.760606
sh.600026,2024-03-29,2023-12-31,1.085128,0.953363,0.644944,0.008668,0.485274,1.942780
sh.600027,2024-03-28,2023-12-31,0.452266,0.381051,0.086320,-0.086219,0.626161,2.674945
sh.600028,2024-03-25,2023-12-31,0.825923,0.438182,0.254936,0.056750,0.526981,2.114081
sh.600029,2024-03-28,2023-12-31,0.214322,0.202231,0.101062,0.001331,0.831848,5.946997
sh.600030,2024-03-27,2023-12-31,,,,0.122762,0.811334,5.300377
sh.600031,2024-04-29,2023-12-31,1.794233,1.430956,0.531485,-0.116326,0.542514,2.185859
sh.600032,2024-04-30,2023-12-31,1.299354,1.298336,0.289145,0.070639,0.654567,2.894918
sh.600033,2024-04-18,2023-12-31,1.820994,1.810092,1.049160,-0.073623,0.189249,1.233425
sh.600035,2024-04-19,2023-12-31,0.385347,0.373307,0.300806,0.042344,0.512344,2.050625
sh.600036,2024-03-26,2023-12-31,,,,0.082538,0.901552,10.157676
sh.600037,2024-04-27,2023-12-31,4.661235,4.544109,4.120042,0.006770,0.193478,1.239892
sh.600038,2024-03-16,2023-12-31,1.566540,0.735978,0.207176,-0.005947,0.632434,2.720597
sh.600039,2024-04-23,2023-12-31,1.175260,1.131929,0.174885,0.171480,0.789344,4.747078
sh.600048,2024-04-23,2023-12-31,1.558916,0.490371,0.182359,-0.042916,0.765451,4.263496
sh.600050,2024-03-20,2023-12-31,0.607135,0.598618,0.235984,0.025208,0.460002,1.851858
