code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sh.600000,2024-04-30,2023-12-31,,,,,2.239451,10.376900,2.239451
sh.600004,2024-04-27,2023-12-31,0.153731,0.846269,0.628860,8.820398,0.366928,4.905711,0.366928
sh.600006,2024-04-13,2023-12-31,0.762089,0.237911,0.389498,,-0.022001,-1.308515,-0.022001
sh.600007,2024-03-29,2023-12-31,0.343460,0.656540,0.706347,43.603101,0.485275,1.522622,0.485275
sh.600008,2024-04-13,2023-12-31,0.238755,0.761245,-0.197766,2.288551,0.160533,1.640234,0.160533
sh.600009,2024-03-30,2023-12-31,0.255127,0.744873,0.544895,4.351038,0.363907,3.380775,0.363907
sh.600010,2024-04-19,2023-12-31,0.257287,0.742713,0.318090,1.306904,-0.014010,-33.394993,-0.014010
sh.600011,2024-03-20,2023-12-31,0.167685,0.832315,0.184976,2.350332,0.178843,5.009335,0.178843
sh.600012,2024-03-29,2023-12-31,0.196294,0.803706,-0.113731,18.321935,0.400141,1.580982,0.400141
sh.600015,2024-04-30,2023-12-31,,,,,2.716287,9.431067,2.716287
sh.600016,2024-03-29,2023-12-31,,,,,0.523204,2.047352,0.523204
sh.600017,2024-03-29,2023-12-31,0.072469,0.927531,0.162732,2.599794,0.336171,3.623941,0.336171
sh.600018,2024-03-30,2023-12-31,0.260589,0.739411,0.503677,24.817066,0.357231,0.957652,0.357231
sh.600019,2024-04-27,2023-12-31,0.363340,0.636660,0.485873,16.561021,0.073446,1.841373,0.073368
sh.600020,2024-04-11,2023-12-31,0.123571,0.876429,-0.218163,2.024209,0.443917,3.055098,0.443917
sh.600021,2024-04-02,2023-12-31,0.188678,0.811322,0.124296,2.295589,0.174659,2.075601,0.174659
sh.600022,2024-03-30,2023-12-31,0.219215,0.780785,0.215001,0.733805,-0.013385,,-0.013385
sh.600023,2024-04-30,2023-12-31,0.288262,0.711738,0.415914,8.327912,0.119586,1.452283,0.119586
sh.600025,2024-04-27,2023-12-31,0.022228,0.977772,0.310712,4.440247,0.727264,2.069907,0.727264
sh.600026,2024-03-29,2023-12-31,0.131364,0.868636,0.474912,4.762933,0.399364,2.410618,0.399364
sh.600027,2024-03-28,2023-12-31,0.128148,0.871852,0.264867,2.528422,0.113092,2.756162,0.113092
sh.600028,2024-03-25,2023-12-31,0.263701,0.736299,0.309784,7.472331,0.050269,2.305271,0.050269
sh.600029,2024-03-28,2023-12-31,0.089711,0.910289,0.056134,0.628626,0.250949,,0.250949
sh.600030,2024-03-27,2023-12-31,,,,,-0.679846,-1.988231,-0.679846
sh.600031,2024-04-29,2023-12-31,0.645713,0.354287,0.394275,81.286378,0.077958,1.239259,0.077118
sh.600032,2024-04-30,2023-12-31,0.205718,0.794282,0.216956,1.944312,0.543841,2.515841,0.543841
sh.600033,2024-04-18,2023-12-31,0.119038,0.880962,0.650011,38.982761,0.688656,1.832041,0.688656
sh.600035,2024-04-19,2023-12-31,0.106912,0.893088,-0.341237,6.694205,0.638679,2.123126,0.638679
sh.600036,2024-03-26,2023-12-31,,,,,1.054936,2.417152,1.054936
sh.600037,2024-04-27,2023-12-31,0.571516,0.428484,0.787051,,0.307031,,0.307031
sh.600038,2024-03-16,2023-12-31,0.876675,0.123325,0.330191,453.339922,0.030717,2.065164,0.030717
sh.600039,2024-04-23,2023-12-31,0.606390,0.393610,0.041482,5.168960,-0.018411,-0.234361,-0.018411
sh.600048,2024-04-23,2023-12-31,0.882823,0.117177,0.126344,7.438894,0.040164,0.778247,0.040156
sh.600050,2024-03-20,2023-12-31,0.238409,0.761591,0.182766,,0.280039,5.575990,0.280039
sh.600051,2024-04-16,2023-12-31,0.633240,0.366760,0.588994,3.358891,0.049785,1.042507,0.049785
sh.600052,2024-04-26,2023-12-31,0.371723,0.628277,0.748814,,0.501756,1.779090,0.501756
sh.600053,2024-04-16,2023-12-31,0.673713,0.326287,0.813657,1.597241,-0.262987,-5.211279,-0.262987
sh.600054,2024-04-20,2023-12-31,0.444498,0.555502,0.713445,,0.374665,1.584869,0.374665
sh.600055,2024-03-23,2023-12-31,0.816087,0.183913,0.851541,,0.168370,1.091239,0.168370
sh.600056,2024-04-27,2023-12-31,0.762530,0.237470,0.230484,11.388298,0.022127,0.691620,0.022127
sh.600057,2024-04-24,2023-12-31,0.854499,0.145501,0.127921,2.719658,0.012170,2.414361,0.012170
sh.600058,2024-03-30,2023-12-31,0.864987,0.135013,0.284434,2.677305,0.003850,1.678511,0.003850
sh.600059,2024-03-29,2023-12-31,0.646397,0.353603,0.798131,,0.220553,0.988228,0.220553
sh.600060,2024-03-30,2023-12-31,0.786049,0.213951,0.351498,344.925898,0.054603,1.148169,0.054603
sh.600061,2024-03-30,2023-12-31,0.862395,0.137605,0.166138,8.797003,1.433373,1.221940,0.206289
sh.600062,2024-03-22,2023-12-31,0.495010,0.504990,0.489502,,0.159534,1.229936,0.159534
sh.600063,2024-04-16,2023-12-31,0.338395,0.661605,0.538579,20.083730,0.018784,0.462624,0.018784
sh.600064,2024-04-27,2023-12-31,0.474419,0.525581,0.459733,7.226428,-0.460695,-1.468741,-0.460060
sh.600066,2024-04-02,2023-12-31,0.635652,0.364348,0.349198,,0.174421,2.564115,0.174421
sh.600067,2024-04-18,2023-12-31,0.747197,0.252803,0.281160,-0.047314,0.228816,,0.228816
sh.600070,2024-04-27,2023-12-31,0.416761,0.583239,0.549797,-138.007630,-1.716613,,-1.716613
sh.600071,2024-04-17,2023-12-31,0.579511,0.420489,0.156320,-2.977588,0.086419,,0.086419
sh.600072,2024-04-27,2023-12-31,0.571110,0.428890,0.193967,1.243004,-0.134131,-13.686310,-0.134131
sh.600073,2024-03-28,2023-12-31,0.587302,0.412698,0.291402,-0.020054,0.016969,,0.016969
sh.600075,2024-03-23,2023-12-31,0.218308,0.781692,0.383508,-1.876802,0.164484,,0.164484
sh.600076,2024-04-20,2023-12-31,0.595641,0.404359,0.367827,-2.946955,-0.382067,,-0.382067
sh.600077,2024-04-30,2023-12-31,0.803733,0.196267,0.025149,3.824645,0.066954,2.153922,0.066954
