code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000,2024-04-30,2023-12-31,0.051598,12.450187,0.019584,0.980577,0.215811,0.919812,,
sh.600004,2024-04-27,2023-12-31,0.025409,1.527460,0.242077,0.918716,0.074796,0.709675,0.886626,0.118872
sh.600006,2024-04-13,2023-12-31,0.024239,2.233032,0.654946,0.985698,0.016814,0.986951,3.479941,0.004896
sh.600007,2024-03-29,2023-12-31,0.133633,1.364160,0.307585,0.999284,0.318710,0.749946,0.977066,0.434953
sh.600008,2024-04-13,2023-12-31,0.056931,3.796993,0.199013,0.769787,0.097872,0.781780,0.619072,0.202224
sh.600009,2024-03-30,2023-12-31,0.023308,1.712500,0.160970,0.785508,0.107640,0.856695,0.770170,0.163140
sh.600010,2024-04-19,2023-12-31,0.009885,2.863325,0.472804,17.405296,0.000420,0.070443,0.173775,0.034272
sh.600011,2024-03-20,2023-12-31,0.070183,4.336840,0.487460,0.929875,0.035702,0.698553,0.606626,0.084250
sh.600012,2024-03-29,2023-12-31,0.135054,1.750980,0.308133,0.989012,0.253097,0.740426,0.955948,0.357578
sh.600015,2024-04-30,2023-12-31,0.082509,12.761305,0.022859,0.982045,0.288015,0.757499,,
sh.600016,2024-03-29,2023-12-31,0.058509,12.192954,0.018863,0.995470,0.255552,0.963274,,
sh.600017,2024-03-29,2023-12-31,0.047677,2.686315,0.225953,0.846739,0.092764,0.760398,0.647787,0.188325
sh.600018,2024-03-30,2023-12-31,0.112127,1.636402,0.194882,0.942557,0.373028,0.862185,0.962046,0.449723
sh.600019,2024-04-27,2023-12-31,0.060484,1.960511,0.890786,0.869233,0.039844,0.910849,0.941066,0.046483
sh.600020,2024-04-11,2023-12-31,0.060566,3.647086,0.114319,0.999742,0.145304,0.751119,0.505980,0.382327
sh.600021,2024-04-02,2023-12-31,0.064922,6.716902,0.257325,0.446367,0.084149,0.810249,0.564382,0.184016
sh.600022,2024-03-30,2023-12-31,-0.018599,3.159415,1.332839,5.659094,-0.000780,0.718945,-0.362760,0.002993
sh.600023,2024-04-30,2023-12-31,0.101326,2.084339,0.715611,0.824982,0.082343,0.867819,0.879922,0.107834
sh.600025,2024-04-27,2023-12-31,0.113096,2.651300,0.131025,0.926596,0.351351,0.875075,0.774787,0.518219
sh.600026,2024-03-29,2023-12-31,0.101591,2.127493,0.314828,0.915533,0.165669,0.771754,0.795656,0.269796
sh.600027,2024-03-28,2023-12-31,0.069964,3.452448,0.525102,0.940540,0.041032,0.827520,0.619998,0.079976
sh.600028,2024-03-25,2023-12-31,0.075989,2.498044,1.616081,0.863190,0.021806,0.813391,0.884538,0.030308
sh.600029,2024-03-28,2023-12-31,-0.108144,7.980717,0.514881,1.365672,-0.019271,1.873556,-0.419429,0.024523
sh.600030,2024-03-27,2023-12-31,0.075564,5.290943,0.043502,0.960135,0.341935,0.784380,,
sh.600031,2024-04-29,2023-12-31,0.068080,2.330405,0.477608,0.982923,0.062229,0.866373,0.993783,0.072277
sh.600032,2024-04-30,2023-12-31,0.060525,4.804792,0.090856,0.641386,0.216167,0.881847,0.531884,0.460870
sh.600033,2024-04-18,2023-12-31,0.082324,1.521561,0.182869,0.787094,0.375896,0.738563,0.974348,0.522355
sh.600035,2024-04-19,2023-12-31,0.120172,2.396843,0.170071,0.980001,0.300820,0.754375,0.850617,0.468798
sh.600036,2024-03-26,2023-12-31,0.145016,10.469201,0.032042,0.990514,0.436438,0.838001,,
sh.600037,2024-04-27,2023-12-31,-0.013300,1.236562,0.151826,1.000000,-0.070841,1.011716,0.595978,-0.117488
sh.600038,2024-03-16,2023-12-31,0.044809,2.808349,0.840877,1.275751,0.014874,0.987532,0.997794,0.015095
sh.600039,2024-04-23,2023-12-31,0.207174,5.168080,0.512191,0.996290,0.078558,0.823966,0.808965,0.117855
sh.600048,2024-04-23,2023-12-31,0.061129,7.364035,0.238630,0.674172,0.051599,0.726839,0.865571,0.082016
sh.600050,2024-03-20,2023-12-31,0.052120,4.169280,0.569924,0.436746,0.050222,0.824001,1.011559,0.060253
sh.600051,2024-04-16,2023-12-31,0.032294,1.818679,0.294794,1.261307,0.047755,0.775577,0.702283,0.087676
sh.600052,2024-04-26,2023-12-31,0.038508,1.191292,0.116496,0.983837,0.282030,0.918279,1.260249,0.243705
