code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2024-04-30,2023-12-31,0.038513,0.034763,-0.280170,-0.314103,-0.282758
sh.600004,2024-04-27,2023-12-31,0.023430,-0.027866,1.440564,1.422222,1.412532
sh.600006,2024-04-13,2023-12-31,0.013846,0.084010,-0.311697,-0.298246,-0.298308
sh.600007,2024-03-29,2023-12-31,0.060654,0.004198,0.128263,0.126126,0.128447
sh.600008,2024-04-13,2023-12-31,0.065025,0.042557,-0.523184,-0.490926,-0.490935
sh.600009,2024-03-30,2023-12-31,0.023583,0.025163,1.426204,1.301587,1.311875
sh.600010,2024-04-19,2023-12-31,-0.011751,0.034387,1.020547,1.701863,1.709355
sh.600011,2024-03-20,2023-12-31,0.217470,0.076707,1.900602,1.573770,2.143282
sh.600012,2024-03-29,2023-12-31,0.061393,0.020437,0.186963,0.148760,0.148726
sh.600015,2024-04-30,2023-12-31,-0.005860,0.090919,0.053158,0.034965,0.053046
sh.600016,2024-03-29,2023-12-31,0.041128,0.057788,0.005842,0.014085,0.015708
sh.600017,2024-03-29,2023-12-31,-0.141552,0.074807,-0.069444,-0.086957,-0.095391
sh.600018,2024-03-30,2023-12-31,0.096575,0.119767,-0.217884,-0.233329,-0.233442
sh.600019,2024-04-27,2023-12-31,0.029300,-0.055737,-0.020529,-0.018182,-0.019923
sh.600020,2024-04-11,2023-12-31,0.171802,0.006652,4.951000,16.167568,4.909988
sh.600021,2024-04-02,2023-12-31,0.292609,0.040711,1.221975,5.758527,3.765593
sh.600022,2024-03-30,2023-12-31,-0.032525,-0.033715,-1.049869,-1.721470,-1.721759
sh.600023,2024-04-30,2023-12-31,0.101088,0.217634,3.193014,4.500000,4.568308
sh.600025,2024-04-27,2023-12-31,-0.062102,0.074922,0.035241,0.081081,0.055803
sh.600026,2024-03-29,2023-12-31,0.089350,0.056163,1.051055,1.298102,1.299529
sh.600027,2024-03-28,2023-12-31,0.172527,-0.001004,8.735661,5.375000,37.889964
sh.600028,2024-03-25,2023-12-31,0.021970,0.038723,-0.085728,-0.090090,-0.098670
sh.600029,2024-03-28,2023-12-31,-0.104075,-0.008894,0.908541,0.878947,0.871214
sh.600030,2024-03-27,2023-12-31,0.062111,0.110619,-0.073502,-0.084507,-0.074909
sh.600031,2024-04-29,2023-12-31,0.045954,-0.048571,0.041606,0.053388,0.055266
sh.600032,2024-04-30,2023-12-31,0.402292,0.134479,-0.149995,-0.267828,-0.191642
sh.600033,2024-04-18,2023-12-31,0.032236,0.009342,0.082885,0.073808,0.073612
sh.600035,2024-04-19,2023-12-31,0.093561,0.082982,0.287275,0.311111,0.303892
sh.600036,2024-03-26,2023-12-31,0.138410,0.087738,0.062544,0.070342,0.062241
sh.600037,2024-04-27,2023-12-31,-0.020915,-0.015678,-1.519504,-1.519497,-1.519504
sh.600038,2024-03-16,2023-12-31,0.025936,0.001944,-0.105823,0.141164,0.141139
sh.600039,2024-04-23,2023-12-31,0.079773,0.156422,-0.204836,-0.257143,-0.196973
sh.600048,2024-04-23,2023-12-31,0.011800,-0.023408,-0.336758,-0.339869,-0.341318
sh.600050,2024-03-20,2023-12-31,0.031548,0.028165,0.123796,0.115385,0.119623
sh.600051,2024-04-16,2023-12-31,0.021176,-0.134722,-0.454462,-0.291667,-0.291780
sh.600052,2024-04-26,2023-12-31,0.010429,-0.019252,1.574906,1.518519,1.532674
sh.600053,2024-04-16,2023-12-31,-0.011423,-0.021440,-0.917694,-0.911875,-0.911883
sh.600054,2024-04-20,2023-12-31,0.098242,0.085168,4.348168,4.222222,4.242917
sh.600055,2024-03-23,2023-12-31,0.023032,0.025411,0.109107,0.000000,0.075092
sh.600056,2024-04-27,2023-12-31,0.068990,0.042077,0.398110,0.424563,0.424738
sh.600057,2024-04-24,2023-12-31,0.219391,0.126703,-0.387537,-0.427273,-0.403111
sh.600058,2024-03-30,2023-12-31,0.521894,-0.020231,-0.519441,-0.450000,-0.456389
sh.600059,2024-03-29,2023-12-31,0.058923,0.085128,0.972018,1.000000,0.964677
sh.600060,2024-03-30,2023-12-31,0.076525,0.261386,0.185199,0.263240,0.248195
sh.600061,2024-03-30,2023-12-31,0.035467,0.050716,-0.150304,-0.181818,-0.198772
sh.600062,2024-03-22,2023-12-31,0.050582,0.017516,0.074783,0.140927,0.129626
sh.600063,2024-04-16,2023-12-31,0.038604,0.062371,-0.753425,-0.764706,-0.750584
sh.600064,2024-04-27,2023-12-31,0.058855,-0.003222,-0.402173,-0.350144,-0.350582
sh.600066,2024-04-02,2023-12-31,-0.038253,0.028621,1.395796,1.411765,1.393606
sh.600067,2024-04-18,2023-12-31,-0.062957,-0.066575,-3.586435,-7.400000,-7.321323
sh.600070,2024-04-27,2023-12-31,-0.462534,-0.426800,0.037504,0.034483,0.031260
sh.600071,2024-04-17,2023-12-31,-0.161790,-0.073026,-50.292529,-31.000000,-50.057853
sh.600072,2024-04-27,2023-12-31,0.387505,0.141097,-0.675722,-0.469630,-0.469565
sh.600073,2024-03-28,2023-12-31,0.021399,-0.003723,-1.203339,-0.555556,-0.551344
sh.600075,2024-03-23,2023-12-31,-0.226415,-0.194220,-1.980427,-1.849057,-1.857541
sh.600076,2024-04-20,2023-12-31,-0.074212,-0.035059,-0.525297,-0.571429,-0.548127
sh.600077,2024-04-30,2023-12-31,0.217554,-0.374711,1.110268,1.045936,1.049206
sh.600078,2024-04-13,2023-12-31,-0.060351,-0.019757,-0.960893,-1.116571,-1.116581
sh.600079,2024-03-29,2023-12-31,0.133445,0.005032,-0.083364,-0.142857,-0.140744
sh.600080,2024-04-27,2023-12-31,-0.026927,0.067935,-2.281865,-2.222222,-2.281865
sh.600081,2024-03-30,2023-12-31,0.428767,0.179596,0.001851,0.151017,0.233968
sh.600082,2024-04-30,2023-12-31,0.007220,0.049474,0.248411,0.248408,0.248411
sh.600083,2024-04-30,2023-12-31,-1.123384,-0.225343,-3.409234,-3.000743,-3.001196
sh.600084,2024-04-27,2023-12-31,0.002567,0.027742,1.005054,1.004199,1.004163
sh.600085,2024-03-29,2023-12-31,0.105628,0.112195,0.172021,0.169068,0.169196
sh.600088,2024-04-20,2023-12-31,0.235122,0.069141,4.610131,4.662577,4.655412
sh.600089,2024-04-09,2023-12-31,0.079502,0.122121,-0.384178,-0.421065,-0.327474
sh.600091,2024-04-29,2023-12-31,-0.448739,-0.365555,-5.378505,-5.508078,-5.507798
sh.600093,2024-04-23,2023-12-31,-0.141649,-0.217426,-0.601010,-0.619048,-0.611901
sh.600094,2024-04-16,2023-12-31,0.017751,-0.268658,0.178390,0.285714,0.299800
sh.600095,2024-04-13,2023-12-31,0.001734,-0.050221,1.356088,1.363636,1.365994
sh.600096,2024-03-26,2023-12-31,0.145312,-0.012251,-0.220323,-0.247134,-0.248969
sh.600097,2024-03-29,2023-12-31,0.072651,-0.009269,0.485686,0.409091,0.398394
sh.600098,2024-04-10,2023-12-31,0.045178,0.193881,0.592824,0.209171,0.209815
sh.600099,2024-03-30,2023-12-31,0.014677,0.100045,0.428559,0.418605,0.428559
sh.600100,2024-04-27,2023-12-31,-0.042659,0.017536,-0.130191,0.008684,0.008574
sh.600101,2024-03-29,2023-12-31,0.057293,0.021857,0.133823,0.126555,0.126629
sh.600103,2024-04-02,2023-12-31,0.002823,0.058926,-0.402388,-0.413206,-0.413202
sh.600104,2024-03-30,2023-12-31,0.025374,0.016708,-0.121799,-0.124286,-0.124795
sh.600105,2024-04-27,2023-12-31,0.005867,0.085218,-0.499880,-0.800000,-0.798195
sh.600106,2024-04-19,2023-12-31,0.046807,-0.028722,0.042240,0.066667,0.042240
sh.600107,2024-04-30,2023-12-31,-0.079640,-0.236692,0.585819,0.552632,0.570850
sh.600108,2024-04-25,2023-12-31,0.025055,0.029760,0.444120,0.350126,0.350115
sh.600109,2024-04-25,2023-12-31,0.046166,0.145350,0.448880,0.346939,0.434071
sh.600110,2024-04-10,2023-12-31,-0.025447,0.090648,-0.862061,-0.920612,-0.922463
sh.600111,2024-04-19,2023-12-31,0.090173,0.105071,-0.587486,-0.603818,-0.603824
sh.600112,2024-04-30,2023-12-31,-4.897757,-0.101255,-0.554848,-0.607610,-0.607485
sh.600113,2024-03-09,2023-12-31,0.077116,0.302577,0.071430,0.282051,0.289986
sh.600114,2024-04-27,2023-12-31,0.005319,0.044217,0.145834,0.280000,0.270833
sh.600115,2024-03-29,2023-12-31,0.380541,-0.012922,0.783948,0.813131,0.781347
sh.600116,2024-04-25,2023-12-31,0.010983,0.076703,0.055776,0.080000,0.082828
sh.600117,2024-03-20,2023-12-31,7.260885,-0.166347,1.770497,1.472727,2.465353
sh.600118,2024-04-17,2023-12-31,0.012822,-0.020997,-0.527180,-0.458333,-0.447715
sh.600119,2024-04-23,2023-12-31,0.045948,-0.035369,1.954944,1.500000,1.626459
sh.600120,2024-04-13,2023-12-31,0.011361,0.072527,-0.706307,-0.548387,-0.487971
sh.600121,2024-03-30,2023-12-31,-0.016275,-0.047323,-0.314889,-0.532977,-0.532172
sh.600122,2024-04-24,2023-12-31,0.433270,-0.085749,1.401761,1.424307,1.424738
sh.600123,2024-04-23,2023-12-31,0.073973,0.019613,-0.300124,-0.349304,-0.349286
sh.600125,2024-04-09,2023-12-31,0.054735,0.063548,0.380181,0.393822,0.394948
sh.600126,2024-04-13,2023-12-31,0.000669,0.090322,-0.617902,-0.642857,-0.621434
sh.600127,2024-03-30,2023-12-31,0.043135,-0.145597,1.560789,1.500000,1.563942
sh.600128,2024-04-23,2023-12-31,0.014252,0.107530,0.618207,-0.187500,-0.152793
sh.600129,2024-03-29,2023-12-31,0.172931,-0.034363,1.466487,1.312500,1.319884
sh.600130,2024-04-30,2023-12-31,0.013914,0.000012,-0.314916,0.000000,-0.234403
sh.600131,2024-04-26,2023-12-31,0.104459,0.128091,0.034291,0.029851,0.034289
sh.600132,2024-03-30,2023-12-31,0.040864,-0.008855,0.048181,0.057471,0.057753
sh.600133,2024-04-30,2023-12-31,0.208508,-0.453913,0.899639,0.761385,0.865207
sh.600135,2024-03-29,2023-12-31,-0.133975,-0.049844,-1.712382,-1.772686,-1.773289
sh.600136,2024-04-30,2023-12-31,1.079128,-0.842891,1.577754,1.172840,1.604222
sh.600137,2024-04-23,2023-12-31,0.019013,0.065883,0.309582,0.308989,0.309582
