code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sh.600000,2024-04-30,2023-12-31,,,,,,0.019584
sh.600004,2024-04-27,2023-12-31,6.416391,56.106309,76.756471,4.690157,1.712469,0.242077
sh.600006,2024-04-13,2023-12-31,3.117659,115.471258,6.688242,53.826142,0.863797,0.654946
sh.600007,2024-03-29,2023-12-31,12.441754,28.934827,51.539712,6.984907,0.945743,0.307585
sh.600008,2024-04-13,2023-12-31,1.890900,190.385493,2.640082,136.358471,0.846777,0.199013
sh.600009,2024-03-30,2023-12-31,4.707172,76.479044,192.606204,1.869099,0.648724,0.160970
sh.600010,2024-04-19,2023-12-31,15.077931,23.875954,3.755786,95.851749,1.825008,0.472804
sh.600011,2024-03-20,2023-12-31,5.666166,63.535027,18.092562,19.897638,2.866990,0.487460
sh.600012,2024-03-29,2023-12-31,,,874.844277,0.411502,1.398846,0.308133
sh.600015,2024-04-30,2023-12-31,,,,,,0.022859
sh.600016,2024-03-29,2023-12-31,,,,,,0.018863
sh.600017,2024-03-29,2023-12-31,16.328723,22.047040,22.252228,16.178176,3.112020,0.225953
sh.600018,2024-03-30,2023-12-31,11.695658,30.780655,2.146940,167.683637,0.754240,0.194882
sh.600019,2024-04-27,2023-12-31,13.946611,25.812723,6.775873,53.129474,2.214075,0.890786
sh.600020,2024-04-11,2023-12-31,11.759266,30.614155,0.693049,519.480519,0.922411,0.114319
sh.600021,2024-04-02,2023-12-31,2.379600,151.285955,29.125105,12.360473,1.416018,0.257325
sh.600022,2024-03-30,2023-12-31,68.132243,5.283842,17.729278,20.305370,5.873535,1.332839
sh.600023,2024-04-30,2023-12-31,8.375979,42.980049,13.749272,26.183151,2.659010,0.715611
sh.600025,2024-04-27,2023-12-31,13.285843,27.096511,233.908620,1.539063,5.888414,0.131025
sh.600026,2024-03-29,2023-12-31,39.180031,9.188354,5.515994,65.264685,2.474882,0.314828
sh.600027,2024-03-28,2023-12-31,9.703384,37.100459,25.988655,13.852174,4.053688,0.525102
sh.600028,2024-03-25,2023-12-31,67.614191,5.324326,10.945032,32.891731,6.074680,1.616081
sh.600029,2024-03-28,2023-12-31,53.487960,6.730487,99.987805,3.600439,5.285861,0.514881
sh.600030,2024-03-27,2023-12-31,,,,,,0.043502
sh.600031,2024-04-29,2023-12-31,2.924117,123.114071,2.671326,134.765844,0.727834,0.477608
sh.600032,2024-04-30,2023-12-31,0.658671,546.555154,195.166617,1.844578,0.443590,0.090856
sh.600033,2024-04-18,2023-12-31,4.495338,80.082966,108.426143,3.320234,1.731690,0.182869
sh.600035,2024-04-19,2023-12-31,9.791064,36.768221,27.590145,13.048159,1.419344,0.170071
sh.600036,2024-03-26,2023-12-31,,,,,,0.032042
sh.600037,2024-04-27,2023-12-31,4.942744,72.834034,7.534837,47.778309,0.268327,0.151826
sh.600038,2024-03-16,2023-12-31,3.923479,91.755300,1.458088,246.896646,0.960050,0.840877
sh.600039,2024-04-23,2023-12-31,6.023524,59.765678,1.316971,273.348519,0.829589,0.512191
sh.600048,2024-04-23,2023-12-31,88.070295,4.087644,0.333323,1080.108011,0.270068,0.238630
sh.600050,2024-03-20,2023-12-31,10.773155,33.416396,119.005815,3.025063,2.448900,0.569924
sh.600051,2024-04-16,2023-12-31,15.079951,23.872757,0.870754,413.412954,0.461213,0.294794
sh.600052,2024-04-26,2023-12-31,3.461311,104.006820,11.893143,30.269652,0.295289,0.116496
sh.600053,2024-04-16,2023-12-31,3.201996,112.429879,0.000721,514285.714286,0.123946,0.081658
sh.600054,2024-04-20,2023-12-31,83.946601,4.288440,2.123789,169.507487,0.848514,0.355244
sh.600055,2024-03-23,2023-12-31,4.257921,84.548309,2.205368,163.235694,0.285269,0.232044
sh.600056,2024-04-27,2023-12-31,2.808408,128.186506,5.573885,64.586735,1.400070,1.059206
sh.600057,2024-04-24,2023-12-31,23.267331,15.472338,15.769646,22.828734,4.412607,3.750878
sh.600058,2024-03-30,2023-12-31,8.486088,42.422376,24.988700,14.406512,4.008000,3.467633
sh.600059,2024-03-29,2023-12-31,13.558469,26.551671,0.538108,669.020628,0.411754,0.271254
sh.600060,2024-03-30,2023-12-31,6.044065,59.562566,8.885942,40.513623,1.656076,1.326032
sh.600061,2024-03-30,2023-12-31,3.404495,105.742565,40.683135,8.848883,0.077369,0.063870
sh.600062,2024-03-22,2023-12-31,7.176591,50.163093,2.659521,135.363790,1.381047,0.683446
sh.600063,2024-04-16,2023-12-31,6.338407,56.796603,8.074819,44.583148,1.542229,0.604484
sh.600064,2024-04-27,2023-12-31,9.557031,37.668601,0.298928,1204.416193,0.257462,0.126744
sh.600066,2024-04-02,2023-12-31,6.309553,57.056340,3.995961,90.090090,1.400687,0.888742
sh.600067,2024-04-18,2023-12-31,3.032583,118.710669,0.785140,458.540313,0.565941,0.430073
sh.600070,2024-04-27,2023-12-31,0.163271,2204.921335,48.998145,7.347224,0.122497,0.065252
sh.600071,2024-04-17,2023-12-31,2.958314,121.690934,5.995987,60.040027,1.486261,0.888423
sh.600072,2024-04-27,2023-12-31,2.324081,154.899948,2.550364,141.154329,0.884478,0.520997
sh.600073,2024-03-28,2023-12-31,13.345942,26.974492,6.779025,53.105178,2.427793,1.437793
sh.600075,2024-03-23,2023-12-31,81.638666,4.409675,11.230817,32.054707,1.832794,0.557681
sh.600076,2024-04-20,2023-12-31,4.977930,72.319211,0.077928,4621.309371,0.059261,0.034862
sh.600077,2024-04-30,2023-12-31,131.880215,2.729750,0.524642,686.237133,0.475286,0.405912
sh.600078,2024-04-13,2023-12-31,7.845609,45.885541,3.733793,96.416519,1.449944,0.555326
sh.600079,2024-03-29,2023-12-31,3.099118,116.162064,3.776048,95.338983,1.255653,0.679099
sh.600080,2024-04-27,2023-12-31,4.211572,85.478769,5.204592,69.169581,0.525941,0.276957
sh.600081,2024-03-30,2023-12-31,3.096218,116.270867,13.046228,27.594242,1.081406,0.701404
sh.600082,2024-04-30,2023-12-31,3.028460,118.872292,0.163434,2203.182375,0.188559,0.161057
sh.600083,2024-04-30,2023-12-31,1.535291,234.483178,97.136196,3.706136,0.984555,0.286451
sh.600084,2024-04-27,2023-12-31,6.293534,57.201568,0.119013,3025.210084,0.215212,0.151160
sh.600085,2024-03-29,2023-12-31,11.674728,30.835836,1.174224,306.591722,0.813326,0.625229
sh.600088,2024-04-20,2023-12-31,9.280996,38.788942,25.947060,13.874383,1.389648,0.684286
sh.600089,2024-04-09,2023-12-31,6.302809,57.117389,3.617805,99.507988,1.349751,0.542229
sh.600091,2024-04-29,2023-12-31,1.418440,253.799919,1.581525,227.631995,0.002364,0.001375
sh.600093,2024-04-23,2023-12-31,0.748139,481.194210,37.941692,9.488241,0.124399,0.088062
sh.600094,2024-04-16,2023-12-31,56.910742,6.325695,0.512619,702.301990,0.507818,0.390144
sh.600095,2024-04-13,2023-12-31,0.580209,620.465829,39.772777,9.051412,0.085845,0.068442
sh.600096,2024-03-26,2023-12-31,37.009941,9.727116,7.550899,47.676436,3.628947,1.305565
sh.600097,2024-03-29,2023-12-31,17.426611,20.658061,2.064727,174.359471,1.317143,0.589276
sh.600098,2024-04-10,2023-12-31,12.736926,28.264276,26.181274,13.750272,3.121136,0.688310
sh.600099,2024-03-30,2023-12-31,4.917388,73.209593,3.586242,100.384808,1.148047,0.858983
sh.600100,2024-04-27,2023-12-31,4.429112,81.280402,2.249883,160.007111,0.970394,0.527991
sh.600101,2024-03-29,2023-12-31,66.679225,5.398983,17.312934,20.793743,2.392351,0.692007
sh.600103,2024-04-02,2023-12-31,21.625295,16.647171,3.927057,91.670698,0.720647,0.445815
sh.600104,2024-03-30,2023-12-31,9.954662,36.163961,6.970304,51.647705,1.239343,0.745914
sh.600105,2024-04-27,2023-12-31,3.922265,91.783704,4.251350,84.679980,1.113244,0.539145
sh.600106,2024-04-19,2023-12-31,,,0.043949,8200.455581,0.054829,0.017155
sh.600107,2024-04-30,2023-12-31,7.903208,45.551125,1.119954,321.428571,0.575377,0.372451
sh.600108,2024-04-25,2023-12-31,2.750034,130.907459,2.813603,127.949957,0.973889,0.451892
sh.600109,2024-04-25,2023-12-31,,,,,,0.061400
sh.600110,2024-04-10,2023-12-31,2.841505,126.693422,4.143723,86.878876,0.618940,0.313003
