code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,2024-04-30,2023-12-31,0.051598,0.215811,,37429000000.000000,1.250401,329633000000.000000,29352176848.00,29352176848.00
sh.600004,2024-04-27,2023-12-31,0.025409,0.074796,0.211254,481003664.140000,0.186717,6430868267.120000,2366718283.00,2366718283.00
sh.600006,2024-04-13,2023-12-31,0.024239,0.016814,0.042620,202943617.350000,0.100021,11945897824.380000,2000000000.00,2000000000.00
sh.600007,2024-03-29,2023-12-31,0.133633,0.318710,0.580128,1260103397.000000,1.250097,3953761873.000000,1007282534.00,1007282534.00
sh.600008,2024-04-13,2023-12-31,0.056931,0.097872,0.321994,2086492234.160000,0.218805,20989104123.410000,7340590677.00,7340590677.00
sh.600009,2024-03-30,2023-12-31,0.023308,0.107640,0.165116,1189102040.580000,0.375349,11047016050.980000,2488481340.00,1926958448.00
sh.600010,2024-04-19,2023-12-31,0.009885,0.000420,0.097185,29604240.560000,0.011348,70565388599.270000,45404942248.00,31497121187.00
sh.600011,2024-03-20,2023-12-31,0.070183,0.035702,0.121156,9082466199.000000,0.537999,246462712245.000000,15698093359.00,10997709919.00
sh.600012,2024-03-29,2023-12-31,0.135054,0.253097,0.395525,1678370211.230000,1.000795,6569084907.420000,1658610000.00,1165600000.00
sh.600015,2024-04-30,2023-12-31,0.082509,0.288015,,26845000000.000000,1.656495,167230000000.000000,15914928468.00,12822686653.00
sh.600016,2024-03-29,2023-12-31,0.058509,0.255552,,35986000000.000000,0.818205,140817000000.000000,43782418502.00,35462123213.00
sh.600017,2024-03-29,2023-12-31,0.047677,0.092764,0.228890,756658725.700000,0.208311,7707239207.280000,3075653888.00,3075653888.00
sh.600018,2024-03-30,2023-12-31,0.112127,0.373028,0.374012,14007787452.350000,0.567044,36423294794.710000,23284144750.00,23173674650.00
sh.600019,2024-04-27,2023-12-31,0.060484,0.039887,0.062042,13740916450.220000,0.539970,344862000000.000000,22119857984.00,21857918984.00
sh.600020,2024-04-11,2023-12-31,0.060566,0.145304,0.417649,828641315.020000,0.368621,5602322559.460000,2247371832.00,2247371832.00
sh.600021,2024-04-02,2023-12-31,0.064922,0.084149,0.219324,3568049667.730000,0.565426,42010647989.460000,2816743645.00,2617164197.00
sh.600022,2024-03-30,2023-12-31,-0.018599,-0.000780,0.040048,-70611976.360000,-0.037350,77453326600.000000,10698849554.00,10698849554.00
sh.600023,2024-04-30,2023-12-31,0.101326,0.082343,0.094126,7902927277.900000,0.486233,86639060021.990000,13408732749.00,13408732749.00
sh.600025,2024-04-27,2023-12-31,0.113096,0.351351,0.563638,8243157025.790000,0.424337,23404849831.150000,18000000000.00,18000000000.00
sh.600026,2024-03-29,2023-12-31,0.101591,0.165669,0.299438,3659708356.400000,0.702314,22030218000.000000,4770776395.00,3474776395.00
sh.600027,2024-03-28,2023-12-31,0.069964,0.041032,0.064266,4808007000.000000,0.442151,116376064000.000000,10227561133.00,8510327533.00
sh.600028,2024-03-25,2023-12-31,0.075989,0.021806,0.156452,70046000000.000000,0.506606,3212215000000.000000,119349251646.00,94971971046.00
sh.600029,2024-03-28,2023-12-31,-0.108144,-0.019271,0.077203,-3082000000.000000,-0.232273,154609000000.000000,18120906806.00,12673338070.00
sh.600030,2024-03-27,2023-12-31,0.075564,0.341935,,20539345229.010000,1.330622,60067992766.110000,14820546829.00,11366683345.00
sh.600031,2024-04-29,2023-12-31,0.068080,0.062907,0.277063,4606157000.000000,0.533542,71521426000.000000,8485740237.00,8464215837.00
sh.600032,2024-04-30,2023-12-31,0.060525,0.216167,0.511529,977812040.540000,0.260806,4438600663.980000,2404675324.00,532675324.00
sh.600033,2024-04-18,2023-12-31,0.082324,0.375896,0.558854,1146313262.170000,0.328763,3011708011.600000,2744400000.00,2744400000.00
sh.600035,2024-04-19,2023-12-31,0.120172,0.300820,0.460498,961481878.720000,0.585208,3079888251.890000,1610115901.00,1610115901.00
sh.600036,2024-03-26,2023-12-31,0.145016,0.436438,,148006000000.000000,5.812962,339123000000.000000,25219845601.00,20628944429.00
sh.600037,2024-04-27,2023-12-31,-0.013300,-0.070841,0.115241,-172418036.730000,-0.123883,2433880907.470000,1391777884.00,1391777884.00
sh.600038,2024-03-16,2023-12-31,0.044809,0.014874,0.101326,347001744.690000,0.750985,23131271190.920000,589476716.00,589476716.00
sh.600039,2024-04-23,2023-12-31,0.207174,0.078558,0.181421,9037378965.750000,1.033075,114420277305.750000,8715578165.00,6639298525.00
sh.600048,2024-04-23,2023-12-31,0.061129,0.051608,0.160080,17899220617.030000,1.008079,345336282200.000000,11970443418.00,11970443418.00
sh.600050,2024-03-20,2023-12-31,0.052120,0.050222,0.245215,18712664904.000000,0.256970,372597000000.000000,31803992312.00,30965652312.00
sh.600051,2024-04-16,2023-12-31,0.032294,0.047755,0.145711,84197485.050000,0.341607,1548770000.000000,310880000.00,310880000.00
sh.600052,2024-04-26,2023-12-31,0.038508,0.282030,0.343687,115126166.410000,0.134170,408205926.400000,844194741.00,844194741.00
sh.600053,2024-04-16,2023-12-31,0.005277,0.050465,0.995536,14158808.840000,0.035395,276429897.920000,433540800.00,433540800.00
sh.600054,2024-04-20,2023-12-31,0.098699,0.236401,0.540217,456122055.980000,0.579817,1879035477.100000,729379440.00,513300000.00
sh.600055,2024-03-23,2023-12-31,0.040472,0.154292,0.423791,190808778.550000,0.268167,1160940098.410000,703061058.00,540816199.00
sh.600056,2024-04-27,2023-12-31,0.093674,0.031993,0.112909,1242120464.960000,0.700617,38745277475.850000,1495879748.00,1495351478.00
sh.600057,2024-04-24,2023-12-31,0.082985,0.005041,0.019231,2313882549.570000,0.693914,457408000000.000000,2268205992.00,2151296769.00
sh.600058,2024-03-30,2023-12-31,0.032305,0.002293,0.030537,181171072.440000,0.185867,78932927300.000000,1071910711.00,1071910711.00
sh.600059,2024-03-29,2023-12-31,0.070135,0.223180,0.375801,398086321.010000,0.435115,1745497152.320000,911542413.00,911542413.00
sh.600060,2024-03-30,2023-12-31,0.115011,0.047557,0.169382,2549795427.200000,1.605526,48389378100.000000,1305401055.00,1289081222.00
sh.600061,2024-03-30,2023-12-31,0.045220,1.173031,0.015525,2947479812.700000,0.366804,13798852124.720000,6425307597.00,6425307597.00
sh.600062,2024-03-22,2023-12-31,0.126276,0.129710,0.552363,1325908257.070000,1.282080,10113756700.470000,1039740001.00,1021061301.00
sh.600063,2024-04-16,2023-12-31,0.043277,0.040604,0.127028,335496089.540000,0.158248,7750977934.150000,2159249374.00,1925894692.00
sh.600064,2024-04-27,2023-12-31,0.091500,0.313667,0.123272,1482548553.090000,0.901641,4726511629.410000,1730339644.00,1730339644.00
sh.600066,2024-04-02,2023-12-31,0.128002,0.068024,0.256490,1839503303.340000,0.820747,22633951500.000000,2213939223.00,2213939223.00
sh.600067,2024-04-18,2023-12-31,-0.065225,-0.040523,0.112891,-393917711.490000,-0.319456,9439735854.110000,1391668739.00,1391668739.00
sh.600070,2024-04-27,2023-12-31,-0.601683,-6.133426,0.097199,-571829577.640000,-1.118837,84616389.220000,507420732.00,506720732.00
sh.600071,2024-04-17,2023-12-31,-0.175425,-0.051546,0.122795,-92327647.130000,-0.300001,1767636373.930000,281573889.00,281573889.00
sh.600072,2024-04-27,2023-12-31,0.021699,0.009800,0.154593,141970691.100000,0.107413,14358345583.830000,1506521728.00,736249883.00
sh.600073,2024-03-28,2023-12-31,0.046057,-0.006050,0.093877,-135311845.130000,0.240550,22367181017.290000,937729472.00,937729472.00
sh.600075,2024-03-23,2023-12-31,-0.077988,-0.075143,0.066728,-861517906.270000,-0.454153,11294761638.500000,1707361781.00,1707361781.00
sh.600076,2024-04-20,2023-12-31,-0.066106,-1.198263,-0.221818,-295178667.310000,-0.220965,223122745.850000,1344543367.00,1034264129.00
sh.600077,2024-04-30,2023-12-31,0.204409,0.031085,0.149024,385675875.900000,0.130870,12362807543.280000,1340122326.00,739019683.00
sh.600078,2024-04-13,2023-12-31,-0.031745,0.009848,0.097789,30538290.210000,-0.091807,3031980156.100000,662572861.00,662572861.00
sh.600079,2024-03-29,2023-12-31,0.133070,0.114793,0.458058,2815265811.700000,1.307606,24305121414.440000,1632361067.00,1536290737.00
sh.600080,2024-04-27,2023-12-31,-0.025821,-0.075858,0.763440,-42890580.250000,-0.114905,565403410.110000,373270285.00,373270285.00
sh.600081,2024-03-30,2023-12-31,0.034798,0.042436,0.124902,289203666.640000,0.231983,6567646623.350000,578343529.00,444627214.00
sh.600082,2024-04-30,2023-12-31,0.007194,0.027500,0.273683,12690341.540000,0.019641,461463281.010000,646115826.00,634335412.00
sh.600083,2024-04-30,2023-12-31,-3.345588,-0.716952,0.107607,-200302714.860000,-0.538224,279380762.310000,230000000.00,227993326.00
sh.600084,2024-04-27,2023-12-31,0.002877,0.022066,0.531228,4668091.100000,0.003271,204561219.430000,1123726830.00,1123726830.00
sh.600085,2024-03-29,2023-12-31,0.134230,0.144630,0.472923,2583225229.820000,1.216822,21325850800.000000,1371470262.00,1371470262.00
sh.600088,2024-04-20,2023-12-31,0.211144,0.215026,0.135115,239732902.270000,0.596599,1113931988.890000,397706400.00,397706400.00
sh.600089,2024-04-09,2023-12-31,0.177994,0.143626,0.275324,14093036586.590000,2.118212,96342391700.000000,5052710023.00,5052710023.00
sh.600091,2024-04-29,2023-12-31,-0.578733,-272.629083,-0.030406,-351706936.890000,-0.805660,1290056.560000,437412524.00,437407874.00
sh.600093,2024-04-23,2023-12-31,,-6.376640,0.234308,-792990759.660000,-0.675392,124358722.780000,1122447500.00,461212749.00
sh.600094,2024-04-16,2023-12-31,0.017919,0.019368,0.159098,226519473.900000,0.089908,11695484376.750000,2475325057.00,2276604962.00
sh.600095,2024-04-13,2023-12-31,0.010064,0.201914,0.020857,116856134.320000,0.041767,2061523754.220000,2859187743.00,2859187743.00
sh.600096,2024-03-26,2023-12-31,0.257624,0.079544,0.151765,5493344954.890000,2.465315,68518655973.030000,1834328747.00,1744328747.00
sh.600097,2024-03-29,2023-12-31,0.068486,0.080904,0.325453,162985011.600000,0.615777,2009533133.710000,240936559.00,240936559.00
sh.600098,2024-04-10,2023-12-31,0.066082,0.039892,0.107813,1865154741.100000,0.467060,46797389858.260000,3506870708.00,3491029779.00
sh.600099,2024-03-30,2023-12-31,0.026307,0.019159,0.139529,13312020.210000,0.060752,691267875.650000,219120000.00,219120000.00
